date,year,month,region,direction,container_volume,industrial_production_index,truck_toll_index,business_climate_index
2020-01-01,2020,1,REGION_A,IMPORT,5229,97.92,102.75,93.96
2020-02-01,2020,2,REGION_A,IMPORT,4699,101.57,103.68,93.53
2020-03-01,2020,3,REGION_A,IMPORT,4494,102.02,105.04,94.76
2020-04-01,2020,4,REGION_A,IMPORT,4624,96.31,102.82,97.83
2020-05-01,2020,5,REGION_A,IMPORT,4846,97.68,102.24,95.62
2020-06-01,2020,6,REGION_A,IMPORT,4637,100.61,100.94,94.89
2020-07-01,2020,7,REGION_A,IMPORT,3494,99.79,97.54,92.75
2020-08-01,2020,8,REGION_A,IMPORT,3446,100.46,97.22,91.21
2020-09-01,2020,9,REGION_A,IMPORT,3241,98.86,95.01,94.23
2020-10-01,2020,10,REGION_A,IMPORT,4594,102.39,95.99,95.37
2020-11-01,2020,11,REGION_A,IMPORT,4978,102.26,97.43,99.98
2020-12-01,2020,12,REGION_A,IMPORT,4290,100.91,98.21,95.95
2021-01-01,2021,1,REGION_A,IMPORT,4942,103.1,102.73,98.13
2021-02-01,2021,2,REGION_A,IMPORT,4383,101.85,102.76,94.48
2021-03-01,2021,3,REGION_A,IMPORT,4679,99.27,104.02,92.83
2021-04-01,2021,4,REGION_A,IMPORT,5194,101.79,104.19,93.43
2021-05-01,2021,5,REGION_A,IMPORT,5525,99.21,102.67,94.09
2021-06-01,2021,6,REGION_A,IMPORT,4619,102.95,101.0,101.28
2021-07-01,2021,7,REGION_A,IMPORT,3971,101.17,97.85,93.96
2021-08-01,2021,8,REGION_A,IMPORT,2799,100.97,95.9,98.17
2021-09-01,2021,9,REGION_A,IMPORT,3353,100.05,95.88,93.87
2021-10-01,2021,10,REGION_A,IMPORT,3342,103.92,94.0,98.51
2021-11-01,2021,11,REGION_A,IMPORT,4109,101.24,95.83,97.2
2021-12-01,2021,12,REGION_A,IMPORT,4514,100.76,98.02,95.9
2022-01-01,2022,1,REGION_A,IMPORT,5158,100.99,100.5,96.25
2022-02-01,2022,2,REGION_A,IMPORT,4546,102.83,104.06,94.77
2022-03-01,2022,3,REGION_A,IMPORT,4652,102.56,102.64,97.58
2022-04-01,2022,4,REGION_A,IMPORT,6233,102.73,102.9,95.38
2022-05-01,2022,5,REGION_A,IMPORT,4799,102.83,103.95,93.51
2022-06-01,2022,6,REGION_A,IMPORT,4665,106.33,99.47,93.44
2022-07-01,2022,7,REGION_A,IMPORT,5338,101.3,99.11,97.12
2022-08-01,2022,8,REGION_A,IMPORT,5221,101.16,95.14,100.69
2022-09-01,2022,9,REGION_A,IMPORT,3212,100.63,95.69,97.2
2022-10-01,2022,10,REGION_A,IMPORT,3869,103.56,95.11,96.56
2022-11-01,2022,11,REGION_A,IMPORT,4834,104.65,97.49,97.63
2022-12-01,2022,12,REGION_A,IMPORT,6009,102.24,101.26,100.24
2023-01-01,2023,1,REGION_A,IMPORT,5012,100.85,99.41,97.58
2023-02-01,2023,2,REGION_A,IMPORT,5408,100.96,104.12,96.06
2023-03-01,2023,3,REGION_A,IMPORT,5941,103.98,104.36,99.91
2023-04-01,2023,4,REGION_A,IMPORT,5812,104.23,102.57,98.27
2023-05-01,2023,5,REGION_A,IMPORT,5470,103.9,99.83,101.09
2023-06-01,2023,6,REGION_A,IMPORT,5270,101.56,100.11,97.77
2023-07-01,2023,7,REGION_A,IMPORT,4190,103.42,97.21,94.31
2023-08-01,2023,8,REGION_A,IMPORT,4121,103.26,96.88,94.0
2023-09-01,2023,9,REGION_A,IMPORT,3963,103.54,96.03,101.61
2023-10-01,2023,10,REGION_A,IMPORT,4524,104.91,98.94,101.84
